entry_time,SessionFilter,EquityCurveFilter,VolatilityFilter,SpreadFilter,RegimeFilter,result
2023-06-07 14:45:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-07 14:45:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-07 19:50:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-07 19:50:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:25:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:25:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:35:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-08 19:35:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-12 12:55:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-12 12:55:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-12 14:30:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-12 14:30:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
